Josh Filmon,572099,Swift Current Broncos,33,33,33,33,33,33,33,106,272,443
Konsta Kapanen,639024,KalPa U20,33,33,33,33,33,33,33,107,1098,617
Yoan Loshing,574583,Moncton Wildcats,33,33,33,33,33,33,33,108,391,236
Nikolai Khvorov,543189,Omskie Yastreby,33,33,33,33,33,33,33,109,178,241
Nolan Flamand,532700,Kelowna Rockets,33,33,33,33,33,33,33,110,407,227
Seamus Casey,526229,USNTDP Juniors,33,33,33,32,33,33,32,111,40,55
Oskar Asplund,509851,Almtuna IS J20,33,33,33,33,33,33,33,112,145,103
Hunter Haight,603614,Barrie Colts,33,33,33,33,33,33,33,113,233,147
Vinny Borgesi,478377,Tri-City Storm,33,33,33,33,33,33,33,114,106,94
Paul Ludwinski,603788,Kingston Frontenacs,33,33,33,33,33,33,33,115,202,153
Antonin Verreault,578985,Gatineau Olympiques,33,33,33,33,33,33,33,116,146,80
Ivan Yanchenko,619379,Krasnaya Armiya Moskva,33,33,33,33,33,33,33,117,133,130
Dominik Rymon,559503,HC Karlovy Vary U20,33,33,33,33,33,33,33,118,364,328
William Proos,515318,Almtuna IS J20,33,33,33,33,33,33,33,119,153,168
Mats Lindgren,635389,Kamloops Blazers,33,33,33,33,33,33,33,120,25,36
Miko Matikka,628519,Jokerit U20,33,33,33,33,33,33,33,121,126,125
Joel Jonsson,568027,Mora IK J18,33,33,33,33,33,33,33,122,521,371
Semyon Sinyatkin,699554,MHK Dynamo St. Petersburg,33,33,33,33,33,33,33,123,122,74
Yegor Gorbunov,698714,Belye Medvedi Chelyabinsk,33,33,33,33,33,33,33,124,238,229
Aidan Castle,526238,Niagara IceDogs,33,33,33,33,33,33,33,125,332,207
Luca Auer,655950,EC Salzburg,33,33,33,33,33,33,33,126,104,109
Ivan Detkov,526253,Russkie Vityazi Chekhov,33,33,33,33,33,33,33,127,212,197
Roman Yermak,617922,Multiple,33,33,33,33,33,33,33,128,246,154
Brad Lambert,414961,Multiple,16,33,14,9,8,20,16,129,93,47
Nils Juntorp,399861,HC Dalen,33,33,33,33,33,33,33,130,265,250
Alex Ponomaryov,693397,Ladia Togliatti,33,33,33,33,33,33,33,131,932,523
Rieger Lorenz,535718,Okotoks Oilers,33,33,33,33,33,33,33,132,143,193
Jeremy Langlois,485737,Cape Breton Eagles,33,33,33,33,33,33,33,133,59,83
Vladislav Romanov,620086,Multiple,33,33,33,33,33,33,33,134,320,293
Elmeri Laakso,535838,Finland U18,33,33,33,33,33,33,33,135,39,45
Atlee Calvert,406413,Moose Jaw Warriors,33,33,33,33,33,33,33,136,214,142
Gavin Bryant,646122,Owen Sound Attack,33,33,33,33,33,33,33,137,111,105
Andon Cerbone,526237,Chicago Steel,33,33,33,33,33,33,33,138,616,473
Gabriel Szturc,426117,Kelowna Rockets,33,33,33,33,33,33,33,139,386,199
Tyler Kennett,689609,Red Lake Falls High,33,33,33,33,33,33,33,140,451,208
Petr Hauser,527493,HC Sparta Praha U20,33,33,33,33,33,33,33,141,138,137
Zam Plante,637043,Hermantown High,33,33,33,33,33,33,33,142,211,148
Cole Spicer,623833,USNTDP Juniors,33,33,33,33,33,33,33,143,263,220
Yegor Sidorov,679585,Saskatoon Blades,33,33,33,33,33,33,33,144,250,187
Jan Kucera,522371,HC Olomouc U20,33,33,33,33,33,33,33,145,298,343
Max Namestnikov,574821,Sarnia Sting,33,33,33,33,33,33,33,146,436,198
Otto Salin,638727,HIFK U20,33,33,33,33,33,33,33,147,48,70
Topi Ronni,638690,Finland U18,33,33,33,33,33,33,33,148,157,167
Maddox Fleming,593365,Multiple,33,33,33,33,33,33,33,149,150,118
Samuel Harris,529920,Sioux Falls Stampede,33,33,33,33,33,33,33,150,406,257
Matvei Polyakov,708131,SKA-Varyagi im. Morozova,33,33,33,33,33,33,33,151,341,206
Grigori Osipov,709162,Mamonty Yugry,33,33,33,33,33,33,33,152,348,243
Alex Suzdalev,535701,Sweden U18,33,33,33,33,33,33,33,153,184,222
Marcus Nguyen,560982,Portland Winterhawks,33,33,33,33,33,33,33,154,288,264
Kirill Kudryavtsev,699365,Soo Greyhounds,33,33,33,33,33,33,33,155,43,77
Luke Woodworth,563417,Drummondville Voltigeurs,33,33,33,33,33,33,33,156,470,285
Sergei Chernetsov,699326,SKA-GUOR Kareliya Kondopoga,33,33,33,33,33,33,33,157,857,583
Daniil Davydov,699552,MHK Dynamo St. Petersburg,33,33,33,33,33,33,33,158,235,164
Jake Sloan,565725,Tri-City Americans,33,33,33,33,33,33,33,159,53,56
Liam Arnsby,529236,North Bay Battalion,33,33,33,33,33,33,33,160,351,213
Spencer Klotz,728291,Northfield High,33,33,33,33,33,33,33,161,277,221
Erik Pahlsson,637872,HV71 J20,33,33,33,33,33,33,33,162,322,278
Patrik Juhola,628483,Assat U20,33,33,33,33,33,33,33,163,97,95
Yelisei Karpov,538021,MHK Dynamo St. Petersburg,33,33,33,33,33,33,33,164,124,184
Demian Tychenko,749831,Motor City Hockey Club,33,33,33,33,33,33,33,165,319,315
Leonid Kulishov,709101,Belye Medvedi Chelyabinsk,33,33,33,33,33,33,33,166,155,165
Adam Dvorak,641564,HC Plzen U20,33,33,33,33,33,33,33,167,606,370
Ivan Volgin,799607,Yamal Salekhard,33,33,33,33,33,33,33,168,2956,1952
Maxim Barbashev,699160,Moncton Wildcats,33,33,33,33,33,33,33,169,144,91
Samuel Smajda,615517,HC Karlovy Vary U20,33,33,33,33,33,33,33,170,179,149
Daniil Orlov,665898,Sakhalinskiye Akuly,33,33,33,33,33,33,33,171,67,87
Joshua Davies,532703,Swift Current Broncos,33,33,33,33,33,33,33,172,174,106
Jack Hughes,617526,Northeastern Univ.,33,33,33,33,33,33,33,173,282,185
Ilya Rogovsky,708589,Multiple,33,33,33,33,33,33,33,174,168,143
Nick Pierre,608132,Sioux City Musketeers,33,33,33,33,33,33,33,175,572,405
Alexis Gendron,485293,Blainville-Boisbriand Armada,33,33,33,33,33,33,33,176,423,248
Maximilian Kilpinen,535690,Orebro HK J20,33,33,33,33,33,33,33,177,301,312
Ilya Kotsyubailo,708978,Omskie Yastreby,33,33,33,33,33,33,33,178,109,115
Rodwin Dionicio,704354,Niagara IceDogs,33,33,33,33,33,33,33,179,42,64
Connor Hvidston,569232,Swift Current Broncos,33,33,33,33,33,33,33,180,213,239
Tanner Scott,563301,Victoria Royals,33,33,33,33,33,33,33,181,630,512
Tyson Jugnauth,650072,West Kelowna Warriors,33,33,33,33,33,33,33,182,68,79
Tristan Luneau,491564,Gatineau Olympiques,32,33,33,33,29,33,32,183,54,76
Alex Blais,578998,Chicoutimi Sagueneens,33,33,33,33,33,33,33,184,489,379
Austin Roest,691875,Everett Silvertips,33,33,33,33,33,33,33,185,469,303
Alex Bump,623782,Prior Lake High,33,33,33,33,33,33,33,186,268,196
Yegor Rytkov,708260,Dizelist Penza,33,33,33,33,33,33,33,187,692,821
Oskar Pettersson,562987,Sweden U18,33,33,33,33,33,33,33,188,166,189
Santeri Sulku,535841,Jokerit U20,33,33,33,33,33,33,33,189,90,132
Vojtech Polak,615545,BK Mlada Boleslav U20,33,33,33,33,33,33,33,190,170,145
Julian Lutz,601111,EHC Munchen,33,33,33,33,33,33,33,191,134,126
Owen Pickering,580641,Swift Current Broncos,23,13,16,19,33,21,20,192,41,54
Ruslan Gazizov,690893,London Knights,33,33,33,33,33,33,33,193,273,181
Alex Shilov,717886,Metallurg Cherepovets,33,33,33,33,33,33,33,194,627,731
Daniil O. Ivanov,617935,MHK Spartak Moskva,33,33,33,33,33,33,33,195,44,84
Ostap Maslov,697809,Ladia Togliatti,33,33,33,33,33,33,33,196,2165,1644
Owen Van Steensel,646146,North Bay Battalion,33,33,33,33,33,33,33,197,291,218
Rasmus Leijonhielm,394740,Linkoping HC J20,33,33,33,33,33,33,33,198,329,263
Brady Stonehouse,652102,Ottawa 67's,33,33,33,33,33,33,33,199,264,169
Zion Green,526489,Maine Nordiques,33,33,33,33,33,33,33,200,257,190
Tim Almgren,535695,Sweden U18,33,33,33,33,33,33,33,201,453,411
Daniil Bourosh,619376,Rouyn-Noranda Huskies,33,33,33,33,33,33,33,202,156,141
Luca Hauf,561615,Krefelder EV 1981 U23,33,33,33,33,33,33,33,203,304,194
Antonio Fernandez,481351,Lincoln Stars,33,33,33,33,33,33,33,204,591,296
Petr Gajda,522391,Bili Tygri Liberec U20,33,33,33,33,33,33,33,205,258,261
Alexis Brisson,484173,Blainville-Boisbriand Armada,33,33,33,33,33,33,33,206,349,316
Matyas Melovsky,527443,Czechia U18,33,33,33,33,33,33,33,207,229,212
Yaroslav Tsulygin,709064,Tolpar Ufa,33,33,33,33,33,33,33,208,118,93
